OBJECTID,BOUNDARY,LEGEND,DATA_SRC,Shape__Length
1689,County,Town,NJ,8026.415245622
1690,Town,Town,NJ,11449.3939743543
1691,Town,Town,NJ,10024.5005769633
1692,County,Town,NJ,1517.98245001804
1693,County,Town,NJ,2318.68905608023
1694,Town,Town,NY,15742.8099950108
1695,Town,Town,NY,53843.5654407381
1696,Town,Town,NY,45877.0085162002
1697,Town,Town,NY,34267.5359026026
1698,Town,Town,NJ,7062.37907488528
1699,Town,Town,NJ,1780.96914056562
1700,Town,Town,NJ,6029.85152054545
1701,Town,Town,NJ,5890.70541725969
1702,Town,Town,NJ,2790.42018626258
1703,Town,Town,NY,7111.15252991371
1704,Town,Town,NJ,2256.2944991701
1705,County,Town,NY,21664.2324790497
1706,Town,Town,NY,9843.08321731986
1707,Town,Town,NJ,21724.6714093127
1708,Town,Town,NY,1527.06216587886
1709,Town,Town,NJ,12003.00195459
1710,Town,Town,NJ,11896.7847232974
1711,Town,Town,NJ,5518.26130155192
1712,Town,Town,NJ,1972.38217730244
1713,Town,Town,NY,26646.5204888366
1714,Town,Town,NJ,10828.7125095487
1715,Town,Town,NJ,3290.59600524612
1716,Town,Town,NJ,3709.01113884316
1717,Town,Town,NY,41553.463531952
1718,Town,Town,NY,20891.5628991175
1719,Town,Town,NY,8150.97337508593
1720,Town,Town,NJ,9679.26099734015
1721,Town,Town,NY,22405.6438906489
1722,County,Town,NY,33954.9102910573
1723,County,Town,NY,48501.9209969497
1724,Town,Town,NY,62464.7518068626
1725,Town,Town,NY,39536.587414655
1726,Town,Town,NJ,5180.27931668563
1727,County,Town,NY,62888.8003991596
1728,Town,Town,NY,55181.281950077
1729,Town,Town,NY,1399.0507232901
1730,Town,Town,NY,5451.78681173937
1731,Town,Town,NY,1175.35412193436
1732,Town,Town,NY,2409.32035512421
1733,Town,Town,NY,1665.15280956987
1734,Town,Town,NY,1096.7764703101
1735,County,Town,NY,4155.10441493631
1736,Town,Town,NY,1650.88004528854
1737,County,Town,NY,9196.9141684487
1738,Town,Town,NY,468.824890750636
1739,County,Town,NY,2043.26874758294
